upstream,vuln_id,osv,Valid,fix_urls
https://github.com/golang/go,CVE-2021-27918,https://osv.dev/vulnerability/CVE-2021-27918,FALSE,https://archive.softwareheritage.org/browse/revision/13722418773b6a081816e8cc48131306565db1bd/
https://github.com/yiisoft/yii2,CVE-2021-3689,https://osv.dev/vulnerability/CVE-2021-3689,TRUE,https://archive.softwareheritage.org/browse/revision/13f27e4d920a05d53236139e8b07007acd046a46/
https://github.com/golang/go,CVE-2022-41716,https://osv.dev/vulnerability/CVE-2022-41716,FALSE,https://archive.softwareheritage.org/browse/revision/156bf3dd36a9264f721dc98749c8899c559cca43/
https://github.com/vim/vim,CVE-2022-2126,https://osv.dev/vulnerability/CVE-2022-2126,TRUE,https://archive.softwareheritage.org/browse/revision/156d3911952d73b03d7420dc3540215247db0fe8/
https://github.com/vim/vim,CVE-2021-3928,https://osv.dev/vulnerability/CVE-2021-3928,TRUE,https://archive.softwareheritage.org/browse/revision/15d9890eee53afc61eb0a03b878a19cb5672f732/
https://github.com/golang/go,CVE-2022-32189,https://osv.dev/vulnerability/CVE-2022-32189,FALSE,https://archive.softwareheritage.org/browse/revision/15da892a4950a4caac987ee72c632436329f62d5/
https://github.com/golang/go,CVE-2021-39293,https://osv.dev/vulnerability/CVE-2021-39293,FALSE,https://archive.softwareheritage.org/browse/revision/170a72e58bd128b421f4b3974fe2a37fd035efdf/
https://github.com/golang/go,CVE-2022-27664,https://osv.dev/vulnerability/CVE-2022-27664,FALSE,https://archive.softwareheritage.org/browse/revision/170d78d9baa82d1b64682c5d1f15e5f386f18f3e/
https://github.com/git/git,CVE-2023-25652,https://osv.dev/vulnerability/CVE-2023-25652,TRUE,https://archive.softwareheritage.org/browse/revision/18e2b1cfc80990719275d7b08e6e50f3e8cbc902/ https://archive.softwareheritage.org/browse/revision/668f2d53613ac8fd373926ebe219f2c29112d93e/
https://gitlab.freedesktop.org/xorg/xserver,CVE-2023-6377,https://osv.dev/vulnerability/CVE-2023-6377,TRUE,https://archive.softwareheritage.org/browse/revision/0c1a93d319558fe3ab2d94f51d174b4f93810afd/ https://archive.softwareheritage.org/browse/revision/19e9f199950aaa4b9b7696936d1b067475da999c/ https://archive.softwareheritage.org/browse/revision/a7bda3080d2b44eae668cdcec7a93095385b9652/
https://github.com/torvalds/linux,CVE-2017-14491,https://osv.dev/vulnerability/CVE-2017-14491,FALSE,https://archive.softwareheritage.org/browse/revision/1c163f4c7b3f621efff9b28a47abb36f7378d783/
https://github.com/golang/go,CVE-2023-45283,https://osv.dev/vulnerability/CVE-2023-45283,FALSE,https://archive.softwareheritage.org/browse/revision/1d0d4b149ce71083ec474d0491851ab2d2dc695e/
https://github.com/golang/go,CVE-2022-30632,https://osv.dev/vulnerability/CVE-2022-30632,FALSE,https://archive.softwareheritage.org/browse/revision/1ed3c127daceaffb9aadc806ba60f0b51b47421b/
https://github.com/golang/go,CVE-2022-30631,https://osv.dev/vulnerability/CVE-2022-30631,FALSE,https://archive.softwareheritage.org/browse/revision/1ed3c127daceaffb9aadc806ba60f0b51b47421b/
https://github.com/golang/go,CVE-2022-28131,https://osv.dev/vulnerability/CVE-2022-28131,FALSE,https://archive.softwareheritage.org/browse/revision/1ed3c127daceaffb9aadc806ba60f0b51b47421b/
https://github.com/golang/go,CVE-2022-30633,https://osv.dev/vulnerability/CVE-2022-30633,FALSE,https://archive.softwareheritage.org/browse/revision/1ed3c127daceaffb9aadc806ba60f0b51b47421b/
https://github.com/golang/go,CVE-2022-30630,https://osv.dev/vulnerability/CVE-2022-30630,FALSE,https://archive.softwareheritage.org/browse/revision/1ed3c127daceaffb9aadc806ba60f0b51b47421b/
https://github.com/golang/go,CVE-2022-30635,https://osv.dev/vulnerability/CVE-2022-30635,FALSE,https://archive.softwareheritage.org/browse/revision/1ed3c127daceaffb9aadc806ba60f0b51b47421b/
https://github.com/pyenv/pyenv,CVE-2022-35861,https://osv.dev/vulnerability/CVE-2022-35861,TRUE,https://archive.softwareheritage.org/browse/revision/22fa683571d98b59ea16e5fe48ac411c67939653/
https://github.com/vim/vim,CVE-2023-0288,https://osv.dev/vulnerability/CVE-2023-0288,TRUE,https://archive.softwareheritage.org/browse/revision/232bdaaca98c34a99ffadf27bf6ee08be6cc8f6a/
https://github.com/golang/go,CVE-2023-39533,https://osv.dev/vulnerability/CVE-2023-39533,TRUE,https://archive.softwareheritage.org/browse/revision/2350afd2e8ab054390e284c95d5b089c142db017/
https://github.com/golang/go,CVE-2021-41771,https://osv.dev/vulnerability/CVE-2021-41771,FALSE,https://archive.softwareheritage.org/browse/revision/23991f50b34f8707bcfc7761321bb3b0e9dba10e/
https://github.com/golang/go,CVE-2021-41772,https://osv.dev/vulnerability/CVE-2021-41772,FALSE,https://archive.softwareheritage.org/browse/revision/23991f50b34f8707bcfc7761321bb3b0e9dba10e/
https://github.com/vim/vim,CVE-2022-2817,https://osv.dev/vulnerability/CVE-2022-2817,TRUE,https://archive.softwareheritage.org/browse/revision/249e1b903a9c0460d618f6dcc59aeb8c03b24b20/
https://github.com/percona/percona-xtradb-cluster,CVE-2020-15180,https://osv.dev/vulnerability/CVE-2020-15180,FALSE,https://archive.softwareheritage.org/browse/revision/253eda9050244fe9ee3ffbbfa00c4b3d8ae17d2a/
https://github.com/golang/go,CVE-2018-16873,https://osv.dev/vulnerability/CVE-2018-16873,FALSE,https://archive.softwareheritage.org/browse/revision/25ca8f49c3fc4a68daff7a23ab613e3453be5cda/
https://github.com/golang/go,CVE-2018-16875,https://osv.dev/vulnerability/CVE-2018-16875,FALSE,https://archive.softwareheritage.org/browse/revision/25ca8f49c3fc4a68daff7a23ab613e3453be5cda/
https://github.com/golang/go,CVE-2018-16874,https://osv.dev/vulnerability/CVE-2018-16874,FALSE,https://archive.softwareheritage.org/browse/revision/25ca8f49c3fc4a68daff7a23ab613e3453be5cda/
https://github.com/rails/rails,CVE-2021-22885,https://osv.dev/vulnerability/CVE-2021-22885,FALSE,https://archive.softwareheritage.org/browse/revision/26126839058bad41120b5d74f3cc06b93baa987e/
https://github.com/rails/rails,CVE-2021-22904,https://osv.dev/vulnerability/CVE-2021-22904,FALSE,https://archive.softwareheritage.org/browse/revision/26126839058bad41120b5d74f3cc06b93baa987e/
https://github.com/golang/go,CVE-2022-30634,https://osv.dev/vulnerability/CVE-2022-30634,FALSE,https://archive.softwareheritage.org/browse/revision/26cdea3acca29db94541236f0037a20aa22ce2d7/
https://github.com/golang/go,CVE-2022-30580,https://osv.dev/vulnerability/CVE-2022-30580,FALSE,https://archive.softwareheritage.org/browse/revision/26cdea3acca29db94541236f0037a20aa22ce2d7/
https://github.com/golang/go,CVE-2022-29804,https://osv.dev/vulnerability/CVE-2022-29804,FALSE,https://archive.softwareheritage.org/browse/revision/26cdea3acca29db94541236f0037a20aa22ce2d7/
https://github.com/vim/vim,CVE-2022-2285,https://osv.dev/vulnerability/CVE-2022-2285,TRUE,https://archive.softwareheritage.org/browse/revision/27efc62f5d86afcb2ecb7565587fe8dea4b036fe/
https://github.com/vim/vim,CVE-2022-1796,https://osv.dev/vulnerability/CVE-2022-1796,TRUE,https://archive.softwareheritage.org/browse/revision/28d032cc688ccfda18c5bbcab8b50aba6e18cde5/
https://github.com/vim/vim,CVE-2022-1886,https://osv.dev/vulnerability/CVE-2022-1886,TRUE,https://archive.softwareheritage.org/browse/revision/2a585c85013be22f59f184d49612074fd9b115d7/
https://github.com/microsoft/vscode,CVE-2021-34528,https://osv.dev/vulnerability/CVE-2021-34528,FALSE,https://archive.softwareheritage.org/browse/revision/2aeda6b18e13c4f4f9edf6667158a6b8d408874b/
https://github.com/microsoft/vscode,CVE-2021-34479,https://osv.dev/vulnerability/CVE-2021-34479,FALSE,https://archive.softwareheritage.org/browse/revision/2aeda6b18e13c4f4f9edf6667158a6b8d408874b/
https://github.com/golang/go,CVE-2023-39321,https://osv.dev/vulnerability/CVE-2023-39321,FALSE,https://archive.softwareheritage.org/browse/revision/2c1e5b05fe39fc5e6c730dd60e82946b8e67c6ba/
https://github.com/vim/vim,CVE-2021-3984,https://osv.dev/vulnerability/CVE-2021-3984,TRUE,https://archive.softwareheritage.org/browse/revision/2de9b7c7c8791da8853a9a7ca9c467867465b655/
