fork,upstream,vuln_id,head_swh,fix_urls,manual evaluation,Owner notification,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
https://github.com/hardkernel/linux,https://github.com/torvalds/linux,CVE-2019-19052,https://archive.softwareheritage.org/browse/revision/b217bb34730992669ae554c6f8b13ff8d159a795,https://archive.softwareheritage.org/browse/revision/fb5be6a7b4863ecc44963bb80ca614584b6c7817/,NEGATIVE,,,fork,6,
https://github.com/jenkinsci/http-request-plugin,https://github.com/jenkinsci/compuware-ispw-operations-plugin,CVE-2022-36899,https://archive.softwareheritage.org/browse/revision/c99531344cfcc9f9c5f0173cc2c52ba3f07b865c,https://archive.softwareheritage.org/browse/revision/d3bb590bae5639e70f364c8d2b65504536f28f6e/,NEGATIVE,,,,,
https://github.com/spree/spree_auth_devise,https://github.com/solidusio/solidus_auth_devise,CVE-2021-41274,https://archive.softwareheritage.org/browse/revision/3f07f9ebad3c4e1a30df50aebd25927f38cf27b2,https://archive.softwareheritage.org/browse/revision/731a6645e90ea9fd228f78ec53c6976c048a0555/,NEGATIVE,,,,,
https://github.com/adafruit/circuitpython,https://github.com/jimmo/micropython,PYSEC-2023-258,https://archive.softwareheritage.org/browse/revision/faa4f12216bf1482a52c0f8a8a15fef63c94da2f,https://archive.softwareheritage.org/browse/revision/8b24aa36ba978eafc6114b6798b47b7bfecdca26/,NEGATIVE,,,,,
https://github.com/adafruit/circuitpython,https://github.com/jimmo/micropython,PYSEC-2023-259,https://archive.softwareheritage.org/browse/revision/faa4f12216bf1482a52c0f8a8a15fef63c94da2f,https://archive.softwareheritage.org/browse/revision/8b24aa36ba978eafc6114b6798b47b7bfecdca26/,NEGATIVE,,,,,
https://github.com/adafruit/circuitpython,https://github.com/jimmo/micropython,PYSEC-2023-257,https://archive.softwareheritage.org/browse/revision/f75340f88fcff6ad69faba870beeb67135f51765,https://archive.softwareheritage.org/browse/revision/8b24aa36ba978eafc6114b6798b47b7bfecdca26/,NEGATIVE,,,,,
https://github.com/beckus/qemu_stm32,https://github.com/qemu/qemu,CVE-2019-13164,https://archive.softwareheritage.org/browse/revision/5ae4df8a7267149f6ff5a9f8fa4f6b8adbc28fbc,https://archive.softwareheritage.org/browse/revision/03d7712b4bcd47bfe0fe14ba2fffa87e111fa086/,POSITIVE,AFFECTED,,,,
https://github.com/felipec/git,https://github.com/git/git,CVE-2024-32002,https://archive.softwareheritage.org/browse/revision/4836ae6d09536ec0d49ffb72e5f13d7fcff720f2,https://archive.softwareheritage.org/browse/revision/97065761333fd62db1912d81b489db938d8c991d/,POSITIVE,AFFECTED,,,,
https://github.com/felipec/git,https://github.com/git/git,CVE-2023-29007,https://archive.softwareheritage.org/browse/revision/facb38b6dfc68a08750808834f83466b34529a4f,https://archive.softwareheritage.org/browse/revision/528290f8c61222433a8cf02fb7cfffa8438432b4/,POSITIVE,AFFECTED,,,,
https://github.com/google/ghost-kernel,https://git.kernel.org/pub/scm/linux/kernel/git/torvalds/linux.git,CVE-2022-0516,https://archive.softwareheritage.org/browse/revision/edd5f9490d82df24c16f90a62f7be05c6c389867,https://archive.softwareheritage.org/browse/revision/09a93c1df3eafa43bcdfd7bf837c574911f12f55/,POSITIVE,,,,,
https://github.com/google/ghost-kernel,https://git.kernel.org/pub/scm/linux/kernel/git/torvalds/linux.git,CVE-2021-45485,https://archive.softwareheritage.org/browse/revision/edd5f9490d82df24c16f90a62f7be05c6c389867,https://archive.softwareheritage.org/browse/revision/62f20e068ccc50d6ab66fdb72ba90da2b9418c99/,POSITIVE,,,,,
https://github.com/google/ghost-kernel,https://git.kernel.org/pub/scm/linux/kernel/git/torvalds/linux.git,CVE-2021-3501,https://archive.softwareheritage.org/browse/revision/edd5f9490d82df24c16f90a62f7be05c6c389867,https://archive.softwareheritage.org/browse/revision/04c4f2ee3f68c9a4bf1653d15f1a9a435ae33f7a/,POSITIVE,,,,,
https://github.com/reMarkable/linux,https://git.kernel.org/pub/scm/linux/kernel/git/torvalds/linux.git,CVE-2021-45485,https://archive.softwareheritage.org/browse/revision/20b9954fd6345ecd241c135d87081b4e10b4febc,https://archive.softwareheritage.org/browse/revision/62f20e068ccc50d6ab66fdb72ba90da2b9418c99/,POSITIVE,,,,,
https://github.com/reMarkable/linux,https://git.kernel.org/pub/scm/linux/kernel/git/torvalds/linux.git,CVE-2021-3501,https://archive.softwareheritage.org/browse/revision/20b9954fd6345ecd241c135d87081b4e10b4febc,https://archive.softwareheritage.org/browse/revision/04c4f2ee3f68c9a4bf1653d15f1a9a435ae33f7a/,POSITIVE,,,,,
https://github.com/rhysd/vim.wasm,https://github.com/vim/vim,CVE-2022-0443,https://archive.softwareheritage.org/browse/revision/dae0bf886882756687ead21dd4df2c230afcd8f4,https://archive.softwareheritage.org/browse/revision/9b4a80a66544f2782040b641498754bcb5b8d461/,POSITIVE,,,,,
https://github.com/rhysd/vim.wasm,https://github.com/vim/vim,CVE-2022-3705,https://archive.softwareheritage.org/browse/revision/310836b3824a401d18725f786bc7f3ff6ab678e8,https://archive.softwareheritage.org/browse/revision/d0fab10ed2a86698937e3c3fed2f10bd9bb5e731/,POSITIVE,,,,,
https://github.com/rhysd/vim.wasm,https://github.com/vim/vim,CVE-2021-3796,https://archive.softwareheritage.org/browse/revision/dae0bf886882756687ead21dd4df2c230afcd8f4,https://archive.softwareheritage.org/browse/revision/35a9a00afcb20897d462a766793ff45534810dc3/,POSITIVE,,,,,
https://github.com/rockchip-linux/kernel,https://git.kernel.org/pub/scm/linux/kernel/git/torvalds/linux.git,CVE-2021-45485,https://archive.softwareheritage.org/browse/revision/098442d79d1afe9a7d19db5e71a04f0c007755de,https://archive.softwareheritage.org/browse/revision/62f20e068ccc50d6ab66fdb72ba90da2b9418c99/,POSITIVE,,,,,
https://github.com/rockchip-linux/kernel,https://github.com/torvalds/linux,CVE-2019-19052,https://archive.softwareheritage.org/browse/revision/098442d79d1afe9a7d19db5e71a04f0c007755de,https://archive.softwareheritage.org/browse/revision/fb5be6a7b4863ecc44963bb80ca614584b6c7817/,POSITIVE,,,,,
https://github.com/sonyxperiadev/kernel,https://git.kernel.org/pub/scm/linux/kernel/git/torvalds/linux.git,CVE-2021-45485,https://archive.softwareheritage.org/browse/revision/9ac561909bae9136f07ed94ffcad068fc24603ad,https://archive.softwareheritage.org/browse/revision/62f20e068ccc50d6ab66fdb72ba90da2b9418c99/,POSITIVE,AFFECTED,,,,
